timestamp,total_wallet,total_margin_balance,available_balance,total_unrealized,maint_buffer,margin_ratio_pct,positions_count,open_orders_count,realized_7d
2026-04-25 08:51:11.013071+09:00,166837.34418211,148847.85483433,143335.71596127,-17989.48934778,148186.10772481002,0.4445795408046255,150,8,9.49957657
2026-04-25 08:51:40.750029+09:00,166841.63791619,148853.04199404,143330.94670854,-17988.59592215,148191.20072189,0.4446273070969553,150,8,9.49957657
2026-04-25 08:52:10.604599+09:00,166841.30399537,148851.35293706,143339.25600644,-17989.95105831,148189.46451769,0.4446640264330492,150,8,9.49957657
2026-04-25 08:52:40.476312+09:00,166851.35989596,148863.05817952,143351.41206492,-17988.30171644,148201.08482877002,0.4446861154442356,150,8,9.49957657
2026-04-25 08:53:10.434343+09:00,166856.05722064,148876.34405456,143363.29979151,-17979.71316608,148214.29428335,0.4446977627065942,150,8,9.49957657
2026-04-25 08:53:40.639261+09:00,166856.4050909,148878.91293529,143366.38132717,-17977.49215561,148216.80401897,0.4447298165105388,150,8,9.49957657
2026-04-25 08:54:10.990177+09:00,166867.83222458,148899.59256131,143381.86662943,-17968.23966327,148237.40410721002,0.4447214681446097,150,8,9.49957657
2026-04-25 08:54:41.210609+09:00,166873.08394692,148905.97918631,143392.75406671,-17967.10476061,148243.72793661,0.4447445652074162,150,8,9.49957657
2026-04-25 08:55:09.637524+09:00,166875.22970613,148901.17767963,143385.57171676,-17974.0520265,148238.9689907,0.4447303233254357,150,8,9.49957657
2026-04-25 08:55:39.952425+09:00,166875.55276892,148903.50621725,143390.82921936,-17972.04655167,148241.24422658,0.4447591648404577,150,8,9.49957657
2026-04-25 08:56:11.359370+09:00,166873.7589329,148901.22539313,143386.82498617,-17972.53353977,148239.0810546,0.4446869639801836,150,8,9.49957657
2026-04-25 08:56:41.716833+09:00,166850.22153455,148869.05391127,143354.88717601,-17981.16762328,148206.95340566998,0.4447536195095523,150,8,9.49957657
